Variable,freqRatio,percentUnique,zeroVar,nzv
DBT1,1.1173469387755102,1.1413448019187826,FALSE,FALSE
DBT99,1.2758620689655173,2.088330162931106,FALSE,FALSE
WHITE,4.86372453928225,0.008270614506657845,FALSE,FALSE
BLACK,10.358384217942696,0.008270614506657845,FALSE,FALSE
ASIAN,21.494883720930233,0.008270614506657845,FALSE,FALSE
MIXED,40.549828178694156,0.008270614506657845,FALSE,FALSE
OTHER_RACE,70.54437869822485,0.008270614506657845,FALSE,FALSE
SDESCENT,9.527644754026992,0.008270614506657845,FALSE,FALSE
OVER65,1.7811385853939046,0.008270614506657845,FALSE,FALSE
LIVESALONE,2.9930647291941876,0.008270614506657845,FALSE,FALSE
LARGEHOUSE,67.11830985915493,0.008270614506657845,FALSE,FALSE
POVERTY,1.1075474986926965,0.008270614506657845,FALSE,FALSE
UNEMPLOYED,1.0853936858120958,0.012405921759986767,FALSE,FALSE
HIGHSCHOOL,2.7790279731208,0.008270614506657845,FALSE,FALSE
RENT,2.6862804878048783,0.008270614506657845,FALSE,FALSE
ELPAY,19.882556131260795,0.008270614506657845,FALSE,FALSE
NGPAY,1.1793439077144916,0.008270614506657845,FALSE,FALSE
LPGPAY,8.89443535188216,0.008270614506657845,FALSE,FALSE
FOPAY,16.728739002932553,0.008270614506657845,FALSE,FALSE
APARTMENT,4.233066435836399,0.008270614506657845,FALSE,FALSE
MOBILE,18.192063492063493,0.008270614506657845,FALSE,FALSE
YEARMADERANGE,1.0263085776925185,0.0372177652799603,FALSE,FALSE
THERMALMASS.WALL,1.2062643239113828,0.028947150773302455,FALSE,FALSE
THERMALMASS.ROOF,1.0632749458767958,0.028947150773302455,FALSE,FALSE
ADQINSUL,1.6531838205847016,0.01654122901331569,FALSE,FALSE
DRAFTY,1.1241338348841814,0.01654122901331569,FALSE,FALSE
WWR,1.0869751499571552,0.2812008932263667,FALSE,FALSE
TYPEGLASS,1.9950819672131148,0.012405921759986767,FALSE,FALSE
COOLTYPE,3.1219844357976654,0.012405921759986767,FALSE,FALSE
EQUIPM,19.02247191011236,0.012405921759986767,FALSE,FALSE
HVAC_OPERATION,6.2488009592326135,0.008270614506657845,FALSE,FALSE
HVAC_MAINTENANCE,17.100299401197606,0.008270614506657845,FALSE,FALSE
NUMFANS,1.104469717006083,0.0744355305599206,FALSE,FALSE
OFFGRID,4.948831488314883,0.008270614506657845,FALSE,FALSE
TEMPMA,94.96031746031746,0.008270614506657845,FALSE,FALSE
